,Open,High,Low,Close,Compound_Score,Total Volume of Tweets,Weighted_Price
10296,6477.65,6477.65,6473.13,6473.13,0.16994104166666654,601.0,6477.502147
10297,6469.98,6469.98,6466.72,6469.97,0.1353218562874252,811.0,6468.2424607
10298,6464.02,6464.68,6464.02,6464.68,0.15355065573770488,773.0,6464.035811
10299,6448.86,6449.86,6448.86,6449.86,0.1343931297709922,664.0,6448.8644982000005
10300,6432.02,6432.02,6424.97,6427.28,0.17919718543046345,790.0,6429.3565339
10302,6415.96,6416.01,6413.2,6413.2,0.14283385269121804,852.0,6413.864394300001
10303,6436.73,6439.47,6436.73,6436.92,0.11923261093911235,1248.0,6437.0154112
10304,6454.81,6460.39,6454.81,6460.38,0.13595224787363286,996.0,6458.8856725000005
10305,6476.75,6478.98,6476.58,6478.9,0.1518313465783663,1070.0,6477.508924399999
10306,6555.01,6568.0,6555.01,6558.47,0.1508255434782607,863.0,6560.8857538
10307,6557.7,6561.42,6557.7,6561.42,0.14175761316872398,1124.0,6560.051487600001
10308,6559.52,6560.19,6559.52,6560.19,0.14613291253381422,1258.0,6559.5712397
10309,6555.94,6558.03,6555.94,6558.03,0.17899753554502354,1236.0,6557.8884547
10310,6552.16,6554.42,6552.15,6554.42,0.14899129287598967,1289.0,6553.5553294
10311,6544.9,6544.9,6544.9,6544.9,0.12687403361344524,1345.0,6544.9
10312,6534.58,6541.06,6534.37,6536.85,0.16251648451730374,1270.0,6537.091995000001
10313,6548.39,6552.72,6548.38,6551.74,0.1049785356068204,1178.0,6548.6702632
10314,6560.5,6560.5,6556.73,6560.5,0.16130010256410207,1130.0,6558.2677228
10315,6528.92,6534.65,6528.92,6534.65,0.15790438489646785,1039.0,6533.8645843
10316,6524.39,6526.9,6524.39,6526.65,0.09607071129707116,1099.0,6526.5492528
10317,6532.75,6535.0,6532.75,6533.12,0.09196020671834627,909.0,6534.4788555
10318,6543.39,6543.4,6539.85,6539.85,0.100873901098901,851.0,6543.3658958000005
10319,6528.97,6530.25,6524.19,6529.78,0.06658633193863324,814.0,6525.8221467
10320,6550.06,6553.01,6550.05,6551.97,0.1159979865771811,851.0,6552.138016399999
10321,6541.66,6542.79,6540.0,6542.79,0.11190906389301633,786.0,6542.147113399999
10322,6552.87,6558.82,6551.3,6558.82,0.14506951066499374,905.0,6557.2755812
10323,6557.04,6559.34,6557.04,6557.11,0.13421566455696207,737.0,6559.183978800001
10324,6566.0,6566.0,6565.75,6566.0,0.10397962427745644,864.0,6565.976259399999
10325,6545.05,6545.06,6545.05,6545.06,0.10780850000000004,733.0,6545.0589377
10326,6549.0,6549.0,6545.0,6545.0,0.11692324840764325,774.0,6545.3132918
10327,6555.66,6555.66,6555.66,6555.66,0.10163014705882344,1215.0,6555.66
10328,6548.83,6549.61,6546.15,6549.19,0.12067783783783766,902.0,6549.0399448
10329,6582.2,6582.2,6571.87,6582.18,0.1356291666666664,914.0,6574.802287699999
10330,6569.28,6569.67,6568.03,6568.03,0.07739930394431557,999.0,6569.335217899999
10331,6533.74,6538.15,6533.74,6538.15,0.14255020746887967,1111.0,6535.5977586
10332,6538.6,6538.6,6538.6,6538.6,0.09273524734982327,1270.0,6538.6
10333,6534.74,6534.74,6531.08,6534.73,0.1162091173617845,1170.0,6534.535167800001
10334,6537.71,6537.71,6537.25,6537.25,0.08648499999999988,1313.0,6537.5421831
10336,6524.8,6526.3,6522.09,6524.72,0.1244723152709357,1160.0,6522.955452100001
10337,6525.53,6525.54,6525.53,6525.53,0.10178320388349496,1187.0,6525.535710600001
10338,6535.03,6535.03,6531.25,6531.27,0.23271892076502435,1624.0,6534.3800108000005
10339,6533.85,6533.85,6531.0,6532.64,0.07531517671517664,1122.0,6532.6652983
10340,6539.25,6539.25,6539.25,6539.25,0.14000134146341456,958.0,6539.25
10341,6537.05,6538.29,6532.81,6535.63,0.08642959309494455,952.0,6537.753089600001
10342,6540.02,6540.02,6540.01,6540.02,0.15394406215316353,1149.0,6540.019646899999
